,InstituteId,Institution, City
212,E031,Basaveshwara Engineering College  Bagalkot [E031],"Vidayagiri, Bagalkot"
213,E031,Basaveshwara Engineering College  Bagalkot [E031],"Vidayagiri, Bagalkot"
214,E031,Basaveshwara Engineering College  Bagalkot [E031],"Vidayagiri, Bagalkot"
215,E032,R.T.E Socity`s Rural Engineering College  Hulkoti [E032],"Hulkoti, Gadag"
216,E032,R.T.E Socity`s Rural Engineering College  Hulkoti [E032],"Hulkoti, Gadag"
217,E032,R.T.E Socity`s Rural Engineering College  Hulkoti [E032],"Hulkoti, Gadag"
218,E032,R.T.E Socity`s Rural Engineering College  Hulkoti [E032],"Hulkoti, Gadag"
219,E032,R.T.E Socity`s Rural Engineering College  Hulkoti [E032],"Hulkoti, Gadag"
220,E033,Sri Taralabalu Jagadguru Institute of Technology.  Ranebennur [E033],"P.B. Road, Ranebennur, Haveri"
221,E033,Sri Taralabalu Jagadguru Institute of Technology.  Ranebennur [E033],"P.B. Road, Ranebennur, Haveri"
222,E033,Sri Taralabalu Jagadguru Institute of Technology.  Ranebennur [E033],"P.B. Road, Ranebennur, Haveri"
223,E033,Sri Taralabalu Jagadguru Institute of Technology.  Ranebennur [E033],"P.B. Road, Ranebennur, Haveri"
224,E033,Sri Taralabalu Jagadguru Institute of Technology.  Ranebennur [E033],"P.B. Road, Ranebennur, Haveri"
225,E033,Sri Taralabalu Jagadguru Institute of Technology.  Ranebennur [E033],"P.B. Road, Ranebennur, Haveri"
226,E034,Sri Dharmasthala Manjunatheswara College of Engineering  Dharwad [E034],"Dhavalagiri, Dharwad"
227,E034,Sri Dharmasthala Manjunatheswara College of Engineering  Dharwad [E034],"Dhavalagiri, Dharwad"
228,E034,Sri Dharmasthala Manjunatheswara College of Engineering  Dharwad [E034],"Dhavalagiri, Dharwad"
229,E034,Sri Dharmasthala Manjunatheswara College of Engineering  Dharwad [E034],"Dhavalagiri, Dharwad"
230,E034,Sri Dharmasthala Manjunatheswara College of Engineering  Dharwad [E034],"Dhavalagiri, Dharwad"
231,E034,Sri Dharmasthala Manjunatheswara College of Engineering  Dharwad [E034],"Dhavalagiri, Dharwad"
232,E034,Sri Dharmasthala Manjunatheswara College of Engineering  Dharwad [E034],"Dhavalagiri, Dharwad"
233,E034,Sri Dharmasthala Manjunatheswara College of Engineering  Dharwad [E034],"Dhavalagiri, Dharwad"
234,E035,"Anjuman Engineering College  Bhatkala, Uttar kannada Dist [E035]","Anjumanabad, Bhatkal, Uttara Kannada"
235,E035,"Anjuman Engineering College  Bhatkala, Uttar kannada Dist [E035]","Anjumanabad, Bhatkal, Uttara Kannada"
236,E035,"Anjuman Engineering College  Bhatkala, Uttar kannada Dist [E035]","Anjumanabad, Bhatkal, Uttara Kannada"
237,E035,"Anjuman Engineering College  Bhatkala, Uttar kannada Dist [E035]","Anjumanabad, Bhatkal, Uttara Kannada"
238,E035,"Anjuman Engineering College  Bhatkala, Uttar kannada Dist [E035]","Anjumanabad, Bhatkal, Uttara Kannada"
