,InstituteId,InstituteName,Institution,CourseName,Course,Location,City,BranchCode,1G,1K,1R,2AG,2AK,2AR,2BG,2BK,2BR,3AG,3AK,3AR,3BG,3BK,3BR,GM,GMK,GMR,SCG,SCK,SCR,STG,STK,STR,AvgCutoffRank,Category-1_min,Category-1_max,Category-2A_min,Category-2A_max,Category-2B_min,Category-2B_max,Category-3A_min,Category-3A_max,Category-3B_min,Category-3B_max,Category-GM_min,Category-GM_max,Category-SC_min,Category-SC_max,Category-ST_min,Category-ST_max
527,E090,Sri Revana Siddeswara Institute of Technology  Bangalore North,Sri Revana Siddeswara Institute of Technology  Bangalore North [E090],Civil Engineering,Civil Engineering [CE],"Chikkajala,Bengaluru",Bengaluru,CE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
530,E090,Sri Revana Siddeswara Institute of Technology  Bangalore North,Sri Revana Siddeswara Institute of Technology  Bangalore North [E090],Mechanical Engineering,Mechanical Engineering [ME],"Chikkajala,Bengaluru",Bengaluru,ME,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
976,E164,"Government Engineering College  Huvina Hadagali,Bellary Dist.","Government Engineering College  Huvina Hadagali,Bellary Dist. [E164]",Mechanical Engineering,Mechanical Engineering [ME],Bellary,Bellary,ME,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
983,E165,"Yenepoya Institute of Technology  Thodar,Moodbidri","Yenepoya Institute of Technology  Thodar,Moodbidri [E165]",Mechanical Engineering,Mechanical Engineering [ME],"Thodar, Moodbidri, Dakshina Kannada",Dakshina Kannada,ME,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
993,E167,"K L E Ss K L E College of Engineering and Technology  Chikkodi, Belgaum Dist.","K L E Ss K L E College of Engineering and Technology  Chikkodi, Belgaum Dist. [E167]",Mechanical Engineering,Mechanical Engineering [ME],"Chikkodi, Belgaum",Belgaum,ME,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
539,E092,Vemana Institute of Technology  Bangalore,Vemana Institute of Technology  Bangalore [E092],Civil Engineering,Civil Engineering [CE],"Koramangala, Bengaluru",Bengaluru,CE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1452,E300,"AKASH INTITUTE OF ENGINEERING AND TECHNOLOGY  KASABA HOBLI, BANGALORE RURAL","AKASH INTITUTE OF ENGINEERING AND TECHNOLOGY  KASABA HOBLI, BANGALORE RURAL [E300]",Mechanical Engineering,Mechanical Engineering [ME],Bengaluru Rural,Bengaluru Rural,ME,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1154,E202,Sampoorna Institute of Technology and Research  Ramanagara (D),Sampoorna Institute of Technology and Research  Ramanagara (D) [E202],Civil Engineering,Civil Engineering [CE],Ramanagara,Ramanagara,CE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1157,E202,Sampoorna Institute of Technology and Research  Ramanagara (D),Sampoorna Institute of Technology and Research  Ramanagara (D) [E202],Electrical And Electronics Engineering,Electrical And Electronics Engineering [EE],Ramanagara,Ramanagara,EE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1158,E202,Sampoorna Institute of Technology and Research  Ramanagara (D),Sampoorna Institute of Technology and Research  Ramanagara (D) [E202],Mechanical Engineering,Mechanical Engineering [ME],Ramanagara,Ramanagara,ME,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1161,E203,"K.S. School of Engineering And Management  Mallasandra, Bangalore","K.S. School of Engineering And Management  Mallasandra, Bangalore [E203]",Civil Engineering,Civil Engineering [CE],"Mallasandra,Bengaluru",Bengaluru,CE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1248,E222,"Cambridge Institutute of Technology-North Campus  Devanahalli(TQ),Bangalore(R)","Cambridge Institutute of Technology-North Campus  Devanahalli(TQ),Bangalore(R) [E222]",Mechanical Engineering,Mechanical Engineering [ME],"Devanahalli,Bengaluru",Bengaluru,ME,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1250,E227,Cauvery Institute of Technology  Mandya tq,Cauvery Institute of Technology  Mandya tq [E227],Civil Engineering,Civil Engineering [CE],Mandya,Mandya,CE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1253,E227,Cauvery Institute of Technology  Mandya tq,Cauvery Institute of Technology  Mandya tq [E227],Mechanical Engineering,Mechanical Engineering [ME],Mandya,Mandya,ME,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
