,InstituteId,Institution,Course
157,E016,Siddaganga Institute of Technology  Tumkur [E016],Industrial Engineering and Management [IM]
156,E016,Siddaganga Institute of Technology  Tumkur [E016],Information Science and Engineering [IE]
158,E016,Siddaganga Institute of Technology  Tumkur [E016],Mechanical Engineering [ME]
159,E017,Sri Siddartha Institute of Technology  Tumkur [E017],Artificial Intelligence and Machine Learning [AI]
160,E017,Sri Siddartha Institute of Technology  Tumkur [E017],Bio Medical Engineering [BM]
161,E017,Sri Siddartha Institute of Technology  Tumkur [E017],Civil Engineering [CE]
163,E017,Sri Siddartha Institute of Technology  Tumkur [E017],Computer Science Engineering-Cyber Security [CY]
164,E017,Sri Siddartha Institute of Technology  Tumkur [E017],Computer Science Engineering-Data Sciences [DS]
162,E017,Sri Siddartha Institute of Technology  Tumkur [E017],Computers Science And Engineering [CS]
166,E017,Sri Siddartha Institute of Technology  Tumkur [E017],Electrical And Electronics Engineering [EE]
165,E017,Sri Siddartha Institute of Technology  Tumkur [E017],Electronics and Communication Engineering [EC]
167,E017,Sri Siddartha Institute of Technology  Tumkur [E017],Electronics and Telecommunication Engineering [ET]
168,E017,Sri Siddartha Institute of Technology  Tumkur [E017],Information Science and Engineering [IE]
169,E017,Sri Siddartha Institute of Technology  Tumkur [E017],Mechanical Engineering [ME]
170,E018,Kalpatharu Institute of Technology  Tiptur [E018],Artificial Intelligence and Machine Learning [AI]
171,E018,Kalpatharu Institute of Technology  Tiptur [E018],Civil Engineering [CE]
172,E018,Kalpatharu Institute of Technology  Tiptur [E018],Computers Science And Engineering [CS]
173,E018,Kalpatharu Institute of Technology  Tiptur [E018],Electronics and Communication Engineering [EC]
174,E018,Kalpatharu Institute of Technology  Tiptur [E018],Information Science and Engineering [IE]
175,E018,Kalpatharu Institute of Technology  Tiptur [E018],Mechanical Engineering [ME]
176,E021,Sri Jayachamarajendra College of Engineering(Const. of JSS Univ.)  Mysore [E021],Civil Engineering [CE]
177,E021,Sri Jayachamarajendra College of Engineering(Const. of JSS Univ.)  Mysore [E021],Computers Science And Engineering [CS]
179,E021,Sri Jayachamarajendra College of Engineering(Const. of JSS Univ.)  Mysore [E021],Electrical And Electronics Engineering [EE]
178,E021,Sri Jayachamarajendra College of Engineering(Const. of JSS Univ.)  Mysore [E021],Electronics and Communication Engineering [EC]
180,E021,Sri Jayachamarajendra College of Engineering(Const. of JSS Univ.)  Mysore [E021],Electronics and Instrumentation Engineering [EI]
181,E021,Sri Jayachamarajendra College of Engineering(Const. of JSS Univ.)  Mysore [E021],Environmental Engineering [EN]
