,InstituteId,InstituteName,BranchCode,1G,1K,1R,2AG,2AK,2AR,2BG,2BK,2BR,3AG,3AK,3AR,3BG,3BK,3BR,GM,GMK,GMR,SCG,SCK,SCR,STG,STK,STR
61,E007, Dayananda Sagar College of Engineering  Bangalore,CD,12185,66459,22246,14337,-1,-1,13396,-1,37558,15564,-1,-1,11643,-1,-1,11288,-1,17362,57878,-1,-1,64517,-1,-1
62,E007, Dayananda Sagar College of Engineering  Bangalore,CE,198071,-1,-1,191864,-1,-1,132942,-1,-1,151181,-1,-1,135768,-1,-1,122287,-1,160994,168568,-1,-1,195737,-1,-1
63,E007, Dayananda Sagar College of Engineering  Bangalore,CH,88721,-1,-1,182295,-1,-1,117351,-1,-1,-1,-1,97069,120363,-1,-1,86010,-1,136304,173826,-1,-1,-1,-1,-1
64,E007, Dayananda Sagar College of Engineering  Bangalore,CS,7081,-1,-1,6434,8500,7818,7819,-1,-1,5047,-1,6418,6098,-1,6871,4424,7987,5914,23711,34430,31745,17034,32849,24935
65,E007, Dayananda Sagar College of Engineering  Bangalore,CY,10306,-1,-1,9575,-1,11181,11825,-1,-1,8509,-1,-1,9986,22542,-1,8195,-1,10111,28870,-1,75707,10880,-1,-1
66,E007, Dayananda Sagar College of Engineering  Bangalore,DS,8935,-1,-1,10975,-1,13781,10709,-1,-1,7486,-1,-1,9582,-1,-1,7360,12872,11414,39173,-1,58851,38403,-1,-1
67,E007, Dayananda Sagar College of Engineering  Bangalore,EC,20194,-1,-1,15524,18899,16983,21780,-1,-1,11946,-1,16636,12079,-1,18241,11067,18836,14255,49355,-1,65011,51477,-1,59056
68,E007, Dayananda Sagar College of Engineering  Bangalore,EE,-1,-1,-1,39677,-1,51891,37795,-1,-1,30643,-1,-1,33747,-1,-1,29591,33970,36159,88296,121669,116456,73584,-1,86983
69,E007, Dayananda Sagar College of Engineering  Bangalore,EI,-1,-1,-1,50368,-1,54615,-1,-1,-1,-1,-1,-1,38173,-1,-1,35307,80031,51628,131533,-1,-1,-1,-1,-1
70,E007, Dayananda Sagar College of Engineering  Bangalore,ET,34582,-1,-1,35854,-1,-1,66062,-1,-1,27512,-1,-1,32967,-1,37500,27256,44371,35610,109012,-1,157513,194762,-1,-1
71,E007, Dayananda Sagar College of Engineering  Bangalore,IC,13387,-1,-1,13363,-1,16370,12789,-1,-1,12020,-1,-1,10689,36677,-1,10560,-1,14165,45334,-1,74186,44487,-1,-1
72,E007, Dayananda Sagar College of Engineering  Bangalore,IE,8972,-1,-1,9383,13778,10280,10482,-1,-1,6875,-1,-1,8574,-1,8933,6665,11255,7832,29150,37900,35989,31642,-1,48268
73,E007, Dayananda Sagar College of Engineering  Bangalore,MD,108016,-1,-1,109480,-1,-1,89193,-1,-1,83838,-1,-1,148624,-1,-1,83455,-1,137976,195572,-1,-1,-1,-1,-1
74,E007, Dayananda Sagar College of Engineering  Bangalore,ME,-1,-1,-1,106692,124440,-1,-1,-1,-1,-1,-1,-1,-1,-1,153843,77609,99189,111055,156168,-1,-1,146361,-1,-1
75,E007, Dayananda Sagar College of Engineering  Bangalore,RI,23418,-1,-1,29348,-1,-1,31687,-1,-1,18390,-1,-1,16860,-1,-1,15790,-1,27621,63732,-1,111263,80209,-1,-1
76,E008, Bangalore Institute of Technology  Bangalore,AI,-1,-1,-1,9468,-1,14356,-1,-1,-1,9959,23188,-1,9117,-1,-1,8627,-1,11392,38381,-1,50262,43873,-1,-1
77,E008, Bangalore Institute of Technology  Bangalore,CE,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,201569,-1,-1,-1,-1,-1,-1,-1,-1
78,E008, Bangalore Institute of Technology  Bangalore,CS,8862,-1,10875,10449,12687,10950,10142,-1,-1,7311,-1,8395,7483,-1,8643,6708,8086,8380,30194,34685,31929,28628,34475,37440
79,E008, Bangalore Institute of Technology  Bangalore,DS,10587,-1,14390,14240,-1,-1,13199,-1,42229,11016,-1,-1,12567,-1,-1,10325,19877,-1,36358,-1,-1,-1,-1,-1
80,E008, Bangalore Institute of Technology  Bangalore,EC,-1,-1,-1,20301,23762,26676,23327,-1,-1,16386,-1,-1,18773,-1,22772,15028,22349,18654,58467,88434,76164,62319,-1,68925
81,E008, Bangalore Institute of Technology  Bangalore,EE,54740,-1,-1,39634,-1,44654,66602,-1,-1,37828,-1,51258,-1,-1,-1,36799,-1,39899,98964,132952,-1,-1,-1,-1
82,E008, Bangalore Institute of Technology  Bangalore,EI,50725,-1,-1,50551,-1,-1,77922,-1,-1,-1,-1,-1,44974,-1,-1,40008,63787,46899,133084,-1,-1,172961,-1,-1
83,E008, Bangalore Institute of Technology  Bangalore,ET,35151,-1,-1,32963,-1,48703,60401,-1,-1,28954,-1,-1,38514,-1,-1,28167,95957,37710,103623,-1,-1,-1,-1,-1
84,E008, Bangalore Institute of Technology  Bangalore,EV,52925,-1,-1,38493,-1,-1,66508,-1,-1,33973,-1,-1,-1,-1,-1,30188,-1,39939,137099,-1,-1,-1,-1,-1
85,E008, Bangalore Institute of Technology  Bangalore,IC,15140,-1,-1,17214,-1,29428,14890,-1,-1,16644,-1,-1,14188,-1,-1,13217,-1,19192,62526,-1,83588,120714,-1,-1
86,E008, Bangalore Institute of Technology  Bangalore,IE,9404,-1,-1,12535,15948,12940,9976,-1,-1,9309,-1,-1,9386,-1,11800,9132,-1,11664,44407,57533,56120,40080,-1,70681
87,E008, Bangalore Institute of Technology  Bangalore,ME,136998,-1,-1,164024,-1,-1,-1,-1,-1,126538,-1,-1,129298,-1,-1,123132,148211,145230,188517,-1,-1,-1,-1,-1
88,E008, Bangalore Institute of Technology  Bangalore,RI,27073,-1,49066,31112,-1,-1,32642,-1,172365,21655,-1,-1,26888,-1,-1,21426,50409,37067,65304,-1,-1,199258,-1,-1
89,E009, P E S University (Ring Road Campus)  Bangalore,AM,4951,-1,-1,5726,24225,7969,6962,67515,19717,3334,-1,7222,4061,-1,7080,2733,12214,5792,33639,40588,49932,43763,-1,60671
90,E009, P E S University (Ring Road Campus)  Bangalore,BB,14394,-1,15889,10095,20104,13113,10391,-1,28670,6592,-1,9836,8209,-1,10785,5898,18121,9032,44284,53958,76457,48914,88652,60206
91,E009, P E S University (Ring Road Campus)  Bangalore,BJ,-1,-1,-1,21226,-1,-1,20477,-1,-1,18207,94962,-1,-1,-1,-1,15006,-1,19595,58173,-1,102640,71453,-1,-1
92,E009, P E S University (Ring Road Campus)  Bangalore,BO,74805,-1,-1,41433,100761,-1,76783,-1,-1,28709,-1,-1,63150,-1,-1,24273,-1,36296,86894,-1,-1,138596,-1,-1
93,E009, P E S University (Ring Road Campus)  Bangalore,BW,3396,7536,4806,4139,6704,5546,5373,-1,5664,1903,-1,3481,2367,6210,4323,1643,4618,3246,18065,33986,28661,18416,22191,30839
94,E009, P E S University (Ring Road Campus)  Bangalore,DB,-1,-1,-1,33462,-1,88615,-1,-1,-1,36277,-1,-1,57811,-1,-1,29905,112195,32781,86170,-1,146267,113485,-1,-1
95,E011, M V J College of Engineering  Bangalore,AE,-1,-1,-1,186044,-1,-1,150179,-1,-1,136299,-1,-1,144394,-1,-1,134699,151219,160575,179300,-1,-1,181936,-1,-1
96,E011, M V J College of Engineering  Bangalore,AI,31618,-1,-1,31751,-1,39385,-1,-1,-1,-1,-1,-1,28238,35198,-1,27539,-1,31874,74160,-1,92579,58707,-1,-1
97,E011, M V J College of Engineering  Bangalore,CD,74166,92112,-1,56152,-1,56237,-1,-1,99025,39224,-1,-1,43938,56665,-1,38092,-1,47001,98777,-1,153879,194619,-1,-1
98,E011, M V J College of Engineering  Bangalore,CE,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,194898,-1,-1,-1,-1,-1,-1,-1,-1
99,E011, M V J College of Engineering  Bangalore,CH,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,191424,-1,-1,-1,-1,-1,-1,-1,-1
100,E011, M V J College of Engineering  Bangalore,CS,28172,-1,-1,27155,-1,27753,29143,-1,-1,24497,-1,-1,23089,-1,26658,21787,26871,26367,54080,60132,61160,53374,-1,57366
101,E011, M V J College of Engineering  Bangalore,DS,31291,-1,-1,35796,-1,40397,35106,-1,-1,33323,-1,-1,29373,-1,-1,28780,-1,30524,81544,-1,-1,127011,-1,-1
102,E011, M V J College of Engineering  Bangalore,EB,75378,-1,-1,70180,-1,-1,77009,-1,-1,65248,-1,145039,74750,-1,-1,65201,89495,67348,129686,-1,-1,153772,-1,-1
103,E011, M V J College of Engineering  Bangalore,EC,45816,-1,-1,47912,52444,49747,56157,-1,-1,41497,-1,-1,42511,-1,49821,39137,41789,47192,96972,180959,136718,141383,-1,-1
104,E011, M V J College of Engineering  Bangalore,EE,123538,-1,170344,107852,-1,-1,142936,-1,-1,-1,-1,-1,-1,-1,-1,88669,-1,110135,136100,-1,-1,108123,-1,-1
105,E011, M V J College of Engineering  Bangalore,EV,-1,-1,-1,115267,-1,-1,113332,-1,-1,-1,-1,-1,-1,-1,-1,97252,-1,149091,174965,-1,-1,-1,-1,-1
106,E011, M V J College of Engineering  Bangalore,IE,30995,-1,-1,30965,33812,32153,-1,-1,-1,27971,-1,-1,27882,-1,-1,26640,27584,30400,77260,-1,79780,83374,-1,175821
107,E011, M V J College of Engineering  Bangalore,ME,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,200575,-1,-1,-1,-1,-1,-1,-1,-1
108,E011, M V J College of Engineering  Bangalore,OT,144346,-1,-1,165412,-1,-1,-1,-1,-1,147443,-1,-1,-1,-1,-1,127346,-1,-1,-1,-1,-1,-1,-1,-1
109,E011, M V J College of Engineering  Bangalore,SE,152877,-1,-1,190956,-1,-1,-1,-1,-1,-1,-1,-1,134602,-1,-1,130418,-1,193567,189765,-1,-1,191552,-1,-1
110,E012," Sir M.Visveswaraya Institute of Technology  Hunasemaranahalli,Bangalore,",AI,21699,-1,-1,22896,26111,-1,28584,-1,-1,16996,-1,21508,20071,-1,-1,16922,20276,19430,45684,-1,-1,37779,-1,-1
111,E012," Sir M.Visveswaraya Institute of Technology  Hunasemaranahalli,Bangalore,",BT,-1,-1,-1,-1,-1,-1,130135,-1,-1,105651,-1,-1,99512,-1,-1,91436,-1,150967,117899,-1,179026,171573,-1,-1
112,E012," Sir M.Visveswaraya Institute of Technology  Hunasemaranahalli,Bangalore,",CE,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,199356,-1,-1,-1,-1,-1,-1,-1,-1
113,E012," Sir M.Visveswaraya Institute of Technology  Hunasemaranahalli,Bangalore,",CS,14995,-1,-1,14832,19262,16872,17299,-1,-1,14017,-1,-1,15065,-1,16126,13629,14669,15839,37542,49525,49893,35529,-1,39361
114,E012," Sir M.Visveswaraya Institute of Technology  Hunasemaranahalli,Bangalore,",EC,29046,-1,-1,27373,-1,30430,32511,-1,-1,23563,-1,-1,23239,29058,33911,22862,23852,25855,65883,-1,89360,73786,-1,81814
115,E012," Sir M.Visveswaraya Institute of Technology  Hunasemaranahalli,Bangalore,",EE,65301,-1,81762,66439,77251,76514,91260,-1,154703,58167,-1,-1,56312,-1,-1,53720,-1,57294,134223,-1,-1,142196,-1,-1
116,E012," Sir M.Visveswaraya Institute of Technology  Hunasemaranahalli,Bangalore,",IC,25908,70313,-1,27182,-1,55840,29965,-1,-1,24008,-1,-1,29053,-1,-1,22976,-1,32410,77316,-1,194633,31776,-1,-1
117,E012," Sir M.Visveswaraya Institute of Technology  Hunasemaranahalli,Bangalore,",IE,-1,-1,-1,18861,-1,20857,26461,-1,-1,16978,-1,19014,17521,-1,-1,16682,24139,18061,51082,-1,75600,64874,-1,86703
118,E012," Sir M.Visveswaraya Institute of Technology  Hunasemaranahalli,Bangalore,",ME,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,197311,-1,-1,-1,-1,-1,-1,-1,-1
119,E012," Sir M.Visveswaraya Institute of Technology  Hunasemaranahalli,Bangalore,",TC,102946,-1,-1,54917,167371,-1,97099,-1,-1,50498,-1,-1,60747,-1,-1,46764,110048,66556,163354,-1,-1,178455,-1,-1
120,E013, Ghousia Engineering College  Ramanagara,AI,162028,-1,-1,144833,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,135641,181268,-1,149082,-1,-1,-1,-1,-1
121,E013, Ghousia Engineering College  Ramanagara,CE,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
122,E013, Ghousia Engineering College  Ramanagara,CS,164703,-1,-1,110375,138149,142729,90121,-1,-1,87576,-1,-1,102390,-1,-1,83750,95924,96208,126171,150302,191180,127434,-1,-1
123,E013, Ghousia Engineering College  Ramanagara,CY,-1,-1,-1,-1,-1,-1,-1,-1,-1,179215,-1,-1,-1,-1,-1,138719,-1,196596,-1,-1,-1,-1,-1,-1
124,E013, Ghousia Engineering College  Ramanagara,EC,-1,-1,-1,158150,-1,-1,145911,-1,-1,-1,-1,-1,178405,-1,-1,133246,-1,151202,182680,-1,-1,-1,-1,-1
125,E013, Ghousia Engineering College  Ramanagara,EE,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,200437,-1,-1,-1,-1,-1,-1,-1,-1
126,E013, Ghousia Engineering College  Ramanagara,IE,-1,-1,-1,176041,-1,-1,125527,-1,-1,-1,-1,-1,-1,-1,-1,123512,-1,126693,138044,-1,200913,128407,-1,-1
127,E013, Ghousia Engineering College  Ramanagara,ME,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
128,E014, S J C Institute of Technology  Chickballapur,AD,48304,-1,-1,58030,-1,73493,53373,-1,-1,50884,61295,-1,54679,-1,-1,45074,-1,-1,78794,-1,114992,89079,-1,-1
129,E014, S J C Institute of Technology  Chickballapur,AE,-1,-1,109379,129833,-1,-1,97329,-1,-1,-1,-1,-1,152444,-1,-1,84933,-1,-1,92419,-1,-1,-1,-1,-1
130,E014, S J C Institute of Technology  Chickballapur,CA,52060,-1,-1,68580,-1,68906,47205,128768,-1,48071,-1,-1,44874,-1,-1,44510,-1,56345,85330,-1,131999,-1,-1,-1
