,InstituteId,InstituteName,Institution,CourseName,Course,Location,City,BranchCode,1G,1K,1R,2AG,2AK,2AR,2BG,2BK,2BR,3AG,3AK,3AR,3BG,3BK,3BR,GM,GMK,GMR,SCG,SCK,SCR,STG,STK,STR,AvgCutoffRank,Category-1_min,Category-1_max,Category-2A_min,Category-2A_max,Category-2B_min,Category-2B_max,Category-3A_min,Category-3A_max,Category-3B_min,Category-3B_max,Category-GM_min,Category-GM_max,Category-SC_min,Category-SC_max,Category-ST_min,Category-ST_max
370,E059,P D A College of Engineering  Gulbarga,P D A College of Engineering  Gulbarga [E059],Artificial Intelligence and Machine Learning,Artificial Intelligence and Machine Learning [AI],"Shambhognlli, Gulbarga",Gulbarga,AI,0,0,0,55896,0,0,32401,0,0,0,0,0,0,0,0,31385,0,41182,55810,0,130900,116759,0,0,66333,0,0,55896,55896,32401,32401,0,0,0,0,31385,41182,55810,130900,116759,116759
957,E160,Sahyadri College of Engg. and Management  Mangalore,Sahyadri College of Engg. and Management  Mangalore [E160],Electronics and Communication Engineering,Electronics and Communication Engineering [EC],"Mangalore, Dakshina Kannada",Dakshina Kannada,EC,49871,0,0,51472,0,72086,42947,0,0,51652,0,0,37864,70142,0,36450,39777,48018,171032,0,0,90663,0,101393,66412,49871,49871,51472,72086,42947,42947,51652,51652,37864,70142,36450,48018,171032,171032,90663,101393
1317,E240,"Dayananda Sagar University  Hosur Road, Bangalore","Dayananda Sagar University  Hosur Road, Bangalore [E240]",B TECH IN COMP SCIENCE AND ENGG(CYBER SECURITY),B TECH IN COMP SCIENCE AND ENGG(CYBER SECURITY) [BX],"Hosur,Bengaluru",Bengaluru,BX,50018,0,0,46503,88228,54576,50109,0,0,0,0,0,37575,0,51193,36395,67918,45559,112741,0,0,160551,0,0,66780,50018,50018,46503,88228,50109,50109,0,0,37575,51193,36395,67918,112741,112741,160551,160551
1327,E241,KLE Technological University(Formerly BVBCET)  Dharward Dist,KLE Technological University(Formerly BVBCET)  Dharward Dist [E241],Electrical And Electronics Engineering,Electrical And Electronics Engineering [EE],Dharwad,Dharwad,EE,52417,0,0,31347,48787,45398,31387,0,138747,35745,46752,86256,24823,0,0,22498,22803,29561,96338,104474,123976,105216,0,156608,66840,52417,52417,31347,48787,31387,138747,35745,86256,24823,24823,22498,29561,96338,123976,105216,156608
70,E007,Dayananda Sagar College of Engineering  Bangalore,Dayananda Sagar College of Engineering  Bangalore [E007],Electronics and Telecommunication Engineering,Electronics and Telecommunication Engineering [ET],"Kumaraswamy Layout, Bengaluru",Bengaluru,ET,34582,0,0,35854,0,0,66062,0,0,27512,0,0,32967,0,37500,27256,44371,35610,109012,0,157513,194762,0,0,66916,34582,34582,35854,35854,66062,66062,27512,27512,32967,37500,27256,44371,109012,157513,194762,194762
817,E135,"K L S Viswanathrao Deshpande Institute of Technology  Haliyal, Uttara Kannada -Dist","K L S Viswanathrao Deshpande Institute of Technology  Haliyal, Uttara Kannada -Dist [E135]",Computers Science And Engineering,Computers Science And Engineering [CS],"Haliyal, Uttara Kannada",Uttara Kannada,CS,46034,0,0,44937,46045,76365,33878,0,0,37293,0,0,0,0,0,33504,40798,60738,97544,0,101850,94420,0,157146,66965,46034,46034,44937,76365,33878,33878,37293,37293,0,0,33504,60738,97544,101850,94420,157146
930,E156,"Government Engineering College  K R Pet, Mandya DT.","Government Engineering College  K R Pet, Mandya DT. [E156]",Computers Science And Engineering,Computers Science And Engineering [CS],"K R Pet, Mandya",Mandya,CS,55567,0,0,76665,0,0,55916,0,0,56360,93973,0,0,0,0,52245,56358,56594,72736,0,75311,71308,0,81134,67013,55567,55567,76665,76665,55916,55916,56360,93973,0,0,52245,56594,72736,75311,71308,81134
669,E108,Sapthagiri College of Engineering  Bangalore,Sapthagiri College of Engineering  Bangalore [E108],Information Science and Engineering,Information Science and Engineering [IE],"Hesarghatta Main Rd, Bengaluru",Bengaluru,IE,42382,0,45705,38208,47533,40344,40447,0,53492,31157,0,0,0,0,0,30640,36273,34536,105584,160735,184725,114954,0,0,67114,42382,45705,38208,47533,40447,53492,31157,31157,0,0,30640,36273,105584,184725,114954,114954
780,E128,"Sharnbasva University(Formerly Appa Inst. of Tech.)  Brahmpur, Kalaburagi","Sharnbasva University(Formerly Appa Inst. of Tech.)  Brahmpur, Kalaburagi [E128]",B TECH IN COMPUTER SCIENCE AND ENGINEERING,B TECH IN COMPUTER SCIENCE AND ENGINEERING [BW],"Brahmpur, Gulbarga",Gulbarga,BW,48721,0,0,40691,0,80664,40540,0,0,0,0,0,39703,0,0,33085,39221,44791,76048,0,105485,73042,0,183680,67139,48721,48721,40691,80664,40540,40540,0,0,39703,39703,33085,44791,76048,105485,73042,183680
92,E009,P E S University (Ring Road Campus)  Bangalore,P E S University (Ring Road Campus)  Bangalore [E009],B TECH IN BIO-TECHNOLOGY,B TECH IN BIO-TECHNOLOGY [BO],"Banashankari, Bengaluru",Bengaluru,BO,74805,0,0,41433,100761,0,76783,0,0,28709,0,0,63150,0,0,24273,0,36296,86894,0,0,138596,0,0,67170,74805,74805,41433,100761,76783,76783,28709,28709,63150,63150,24273,36296,86894,86894,138596,138596
1175,E205,"ATME College of Engineering  Varun  hobli,Mysore","ATME College of Engineering  Varun  hobli,Mysore [E205]",Computers Science And Engineering,Computers Science And Engineering [CS],"Varun hobli,Mysore",Mysore,CS,0,0,0,60911,0,64200,44649,0,0,44373,0,0,44282,0,70346,42064,70598,50863,85839,89337,86366,91534,0,96600,67283,0,0,60911,64200,44649,44649,44373,44373,44282,70346,42064,70598,85839,89337,91534,96600
415,E064,Adhichunchanagiri Institute of Technology  Chickmagalur,Adhichunchanagiri Institute of Technology  Chickmagalur [E064],Computers Science And Engineering,Computers Science And Engineering [CS],"Jyothi nagara, Chikkamagaluru",Chikkamagaluru,CS,44010,0,0,54495,0,0,35440,0,0,32263,0,0,33102,0,48229,32080,61066,38610,83762,171068,125740,80097,0,104554,67465,44010,44010,54495,54495,35440,35440,32263,32263,33102,48229,32080,61066,83762,171068,80097,104554
1318,E240,"Dayananda Sagar University  Hosur Road, Bangalore","Dayananda Sagar University  Hosur Road, Bangalore [E240]",B TECH IN COMPUTER SCIENCE AND ENGG(DATA SCIENCE),B TECH IN COMPUTER SCIENCE AND ENGG(DATA SCIENCE) [BZ],"Hosur,Bengaluru",Bengaluru,BZ,33584,0,0,45227,0,49070,44795,0,0,33410,0,43261,33121,0,0,32763,53449,41970,135370,0,161654,170088,0,0,67520,33584,33584,45227,49070,44795,44795,33410,43261,33121,33121,32763,53449,135370,161654,170088,170088
895,E150,P E S Institute of Technology and Management  Shivamogga,P E S Institute of Technology and Management  Shivamogga [E150],Information Science and Engineering,Information Science and Engineering [IE],Shivamogga,Shivamogga,IE,59705,0,0,55611,0,57114,48837,0,60079,50850,0,0,49105,0,0,44925,49346,48586,97559,0,136987,120026,0,0,67594,59705,59705,55611,57114,48837,60079,50850,50850,49105,49105,44925,49346,97559,136987,120026,120026
256,E038,B L D E As V.P. Dr. P. G. Hallakatti College of Engg. and Tech.  vijayapur,B L D E As V.P. Dr. P. G. Hallakatti College of Engg. and Tech.  vijayapur [E038],"Computer Science Engineering-AI, Machine Learning","Computer Science Engineering-AI, Machine Learning [CA]","Adarsh Nagar, Bijapur",Bijapur,CA,65179,0,0,50065,0,85357,64197,0,0,0,0,0,48350,0,0,43100,0,69671,68973,0,0,116785,0,0,67964,65179,65179,50065,85357,64197,64197,0,0,48350,48350,43100,69671,68973,68973,116785,116785
1198,E209,Jyothi Institute of Technology  Bangalore,Jyothi Institute of Technology  Bangalore [E209],Information Science and Engineering,Information Science and Engineering [IE],"Thathaguni, Bengaluru",Bengaluru,IE,61233,0,0,47804,106952,60887,75004,0,0,48418,0,0,47395,55420,0,47161,0,56098,141829,0,0,0,0,0,68018,61233,61233,47804,106952,75004,75004,48418,48418,47395,55420,47161,56098,141829,141829,0,0
298,E045,Rao Bahadur Y.Mahabaleswarappa Engineering College  Bellari,Rao Bahadur Y.Mahabaleswarappa Engineering College  Bellari [E045],Computers Science And Engineering,Computers Science And Engineering [CS],"Cantonment Bellary,Bellary",Bellary,CS,50270,0,0,55375,0,56247,56278,0,0,62828,0,0,0,0,62931,46198,51232,55811,76846,0,112182,65001,88129,112977,68021,50270,50270,55375,56247,56278,56278,62828,62828,62931,62931,46198,55811,76846,112182,65001,112977
570,E096,East Point College of Engineering and Technology  Bangalore,East Point College of Engineering and Technology  Bangalore [E096],"Computer Science Engineering-AI, Machine Learning","Computer Science Engineering-AI, Machine Learning [CA]","Virgo Nagar, Bengaluru",Bengaluru,CA,60016,0,0,51071,0,61952,55663,0,0,48782,113824,58509,60725,0,0,47700,0,57820,88762,0,0,111823,0,0,68053,60016,60016,51071,61952,55663,55663,48782,113824,60725,60725,47700,57820,88762,88762,111823,111823
891,E150,P E S Institute of Technology and Management  Shivamogga,P E S Institute of Technology and Management  Shivamogga [E150],Computers Science And Engineering,Computers Science And Engineering [CS],Shivamogga,Shivamogga,CS,50716,0,0,45849,0,0,37954,0,0,0,0,0,41014,0,42905,37616,0,38641,90745,156461,96578,81481,0,96983,68078,50716,50716,45849,45849,37954,37954,0,0,41014,42905,37616,38641,90745,156461,81481,96983
879,E149,Cambridge Institutute of Technology  Bangalore,Cambridge Institutute of Technology  Bangalore [E149],Artificial Intelligence and Machine Learning,Artificial Intelligence and Machine Learning [AI],"Chikkabasavanapura, Bengaluru",Bengaluru,AI,32914,0,0,35485,0,47415,42212,0,0,31214,0,0,35842,0,0,30958,50637,41451,71985,0,166616,103579,0,195336,68126,32914,32914,35485,47415,42212,42212,31214,31214,35842,35842,30958,50637,71985,166616,103579,195336
955,E160,Sahyadri College of Engg. and Management  Mangalore,Sahyadri College of Engg. and Management  Mangalore [E160],"Computer Science Engineering-AI, Machine Learning","Computer Science Engineering-AI, Machine Learning [CA]","Mangalore, Dakshina Kannada",Dakshina Kannada,CA,32848,0,0,28446,29440,35093,28852,0,0,26469,0,0,26855,0,30266,25071,26366,26008,144896,196608,201805,173566,0,0,68839,32848,32848,28446,35093,28852,28852,26469,26469,26855,30266,25071,26366,144896,201805,173566,173566
424,E065,Jawaharlal Nehru National College of Engineering  Shimoga,Jawaharlal Nehru National College of Engineering  Shimoga [E065],Computer Science Engineering-Data Sciences,Computer Science Engineering-Data Sciences [DS],"Navule, Shivamogga",Shivamogga,DS,46317,0,0,46367,0,59701,51830,0,0,0,89724,0,0,0,0,40881,0,47895,111499,0,0,126322,0,0,68948,46317,46317,46367,59701,51830,51830,89724,89724,0,0,40881,47895,111499,111499,126322,126322
395,E062,Bapuji Institute of Engineering and Technology  Davangere,Bapuji Institute of Engineering and Technology  Davangere [E062],Artificial Intelligence and Machine Learning,Artificial Intelligence and Machine Learning [AI],"BIET, Davanagere",Davanagere,AI,50249,0,0,38761,0,43553,54242,0,0,38484,0,0,39676,0,0,35248,39136,41045,94195,166177,110260,70042,0,147057,69151,50249,50249,38761,43553,54242,54242,38484,38484,39676,39676,35248,41045,94195,166177,70042,147057
16,E003,"B M S College of Engineering  Basavanagudi,Bangalore","B M S College of Engineering  Basavanagudi,Bangalore [E003]",Mechanical Engineering,Mechanical Engineering [ME],"Basavanagudi, Bengaluru",Bengaluru,ME,88894,0,137940,49867,0,74434,39647,0,0,40104,0,0,38650,0,90043,33987,36575,42559,109249,0,0,117491,0,0,69187,88894,137940,49867,74434,39647,39647,40104,40104,38650,90043,33987,42559,109249,109249,117491,117491
750,E123,Canara Engineering College Bantwal  DK DIST,Canara Engineering College Bantwal  DK DIST [E123],Computers Science And Engineering,Computers Science And Engineering [CS],"Bantwal,Dakshina Kannada",Dakshina Kannada,CS,39844,0,0,43315,43347,44952,45542,0,0,44268,0,0,42607,0,44858,36979,38199,38410,142302,0,163273,134130,0,135958,69198,39844,39844,43315,44952,45542,45542,44268,44268,42607,44858,36979,38410,142302,163273,134130,135958
309,E047,Malnad College of Engineering  Hassan,Malnad College of Engineering  Hassan [E047],Computer Science and Business Systems,Computer Science and Business Systems [CB],"Rangoli Halla, Hassan",Hassan,CB,45759,0,70490,44471,0,0,0,0,0,53131,0,0,0,0,0,39754,66046,46449,100999,0,0,157810,0,0,69434,45759,70490,44471,44471,0,0,53131,53131,0,0,39754,66046,100999,100999,157810,157810
425,E065,Jawaharlal Nehru National College of Engineering  Shimoga,Jawaharlal Nehru National College of Engineering  Shimoga [E065],Electronics and Communication Engineering,Electronics and Communication Engineering [EC],"Navule, Shivamogga",Shivamogga,EC,0,0,0,48423,0,51898,49272,0,64729,48399,0,0,46726,0,0,42262,47779,50951,98914,0,146155,138287,0,0,69482,0,0,48423,51898,49272,64729,48399,48399,46726,46726,42262,50951,98914,146155,138287,138287
154,E016,Siddaganga Institute of Technology  Tumkur,Siddaganga Institute of Technology  Tumkur [E016],Electronics and Instrumentation Engineering,Electronics and Instrumentation Engineering [EI],"Bangalore - Honnavar Rd,Tumakuru",Tumakuru,EI,43264,0,65465,43315,0,0,64948,0,0,39366,0,0,39338,0,0,32346,70071,41736,156781,0,0,167817,0,0,69495,43264,65465,43315,43315,64948,64948,39366,39366,39338,39338,32346,70071,156781,156781,167817,167817
683,E111,"Sri Venkateshwara College of Engineering  Bettahalsur(P), Bangalore","Sri Venkateshwara College of Engineering  Bettahalsur(P), Bangalore [E111]",Information Science and Engineering,Information Science and Engineering [IE],"Bettahalsur(P), Bengaluru",Bengaluru,IE,63656,0,0,57341,0,0,59554,0,0,47359,0,49855,51548,0,0,46747,0,49310,106087,0,0,163703,0,0,69516,63656,63656,57341,57341,59554,59554,47359,49855,51548,51548,46747,49310,106087,106087,163703,163703
253,E037,K.L.S. Gogte Institute of Technology  Belgaum,K.L.S. Gogte Institute of Technology  Belgaum [E037],Electrical And Electronics Engineering,Electrical And Electronics Engineering [EE],"Udyambag, Belgaum",Belgaum,EE,53768,73792,80293,48777,0,0,67786,0,78841,56591,0,0,37369,0,43081,34350,38226,39373,146262,0,0,175108,0,0,69544,53768,80293,48777,48777,67786,78841,56591,56591,37369,43081,34350,39373,146262,146262,175108,175108
20,E004,Dr. Ambedkar Institute Of Technology  Bangalore,Dr. Ambedkar Institute Of Technology  Bangalore [E004],Electrical And Electronics Engineering,Electrical And Electronics Engineering [EE],"Near Gnana Bharathi, Bengaluru",Bengaluru,EE,47168,179110,0,46505,0,50472,61072,0,83899,46771,0,0,43120,0,0,40844,42626,44847,91452,0,102416,94085,0,0,69599,47168,179110,46505,50472,61072,83899,46771,46771,43120,43120,40844,44847,91452,102416,94085,94085
946,E158,"Maharaja Institute of Technology-Mysore  Belawadi, Mandya Dist","Maharaja Institute of Technology-Mysore  Belawadi, Mandya Dist [E158]",Information Science and Engineering,Information Science and Engineering [IE],"Belawadi, Mandya",Mandya,IE,46011,0,0,46229,0,55029,50323,0,0,36876,0,0,38501,0,66720,36120,51210,44325,84981,98603,135796,98685,0,154613,69601,46011,46011,46229,55029,50323,50323,36876,36876,38501,66720,36120,51210,84981,135796,98685,154613
627,E103,Global Academy of Technology  Bangalore,Global Academy of Technology  Bangalore [E103],Electronics and Communication Engineering,Electronics and Communication Engineering [EC],"RR Nagar, Bengaluru",Bengaluru,EC,54139,0,0,41833,56201,53307,47010,0,0,34544,0,37665,36639,0,39354,33606,36671,36864,103631,107149,153983,141358,0,171863,69753,54139,54139,41833,56201,47010,47010,34544,37665,36639,39354,33606,36864,103631,153983,141358,171863
1287,E237,"Presidency University  Yelahanka, Bangalore","Presidency University  Yelahanka, Bangalore [E237]",B TECH IN  COMPUTER SCIENCE AND INFO TECH,B TECH IN  COMPUTER SCIENCE AND INFO TECH [BU],"Yelahanka,Bengaluru",Bengaluru,BU,73340,0,0,59180,0,0,60821,0,0,59247,0,70725,52983,0,0,52427,53182,57245,88495,0,107646,103068,0,0,69863,73340,73340,59180,59180,60821,60821,59247,70725,52983,52983,52427,57245,88495,107646,103068,103068
934,E157,Government Engineering College  Ramanagara,Government Engineering College  Ramanagara [E157],Computers Science And Engineering,Computers Science And Engineering [CS],Ramanagara,Ramanagara,CS,58324,0,0,74209,0,84785,65391,0,0,66326,0,0,67970,0,78535,56703,67513,63264,70880,0,0,85007,0,0,69908,58324,58324,74209,84785,65391,65391,66326,66326,67970,78535,56703,67513,70880,70880,85007,85007
1374,E265,Jain College of Engineering and Technology  Hubballi,Jain College of Engineering and Technology  Hubballi [E265],Computers Science And Engineering,Computers Science And Engineering [CS],Hubli,Hubli,CS,57431,0,69729,51480,0,73694,54799,0,0,50791,0,0,46693,0,61366,44302,49554,57350,106647,0,152050,105586,0,0,70105,57431,69729,51480,73694,54799,54799,50791,50791,46693,61366,44302,57350,106647,152050,105586,105586
403,E062,Bapuji Institute of Engineering and Technology  Davangere,Bapuji Institute of Engineering and Technology  Davangere [E062],Electronics and Communication Engineering,Electronics and Communication Engineering [EC],"BIET, Davanagere",Davanagere,EC,43486,0,0,49385,0,55765,51498,0,0,40890,0,46195,38819,0,0,37656,38633,38868,111301,136581,142833,99797,0,122840,70303,43486,43486,49385,55765,51498,51498,40890,46195,38819,38819,37656,38868,111301,142833,99797,122840
168,E017,Sri Siddartha Institute of Technology  Tumkur,Sri Siddartha Institute of Technology  Tumkur [E017],Information Science and Engineering,Information Science and Engineering [IE],"Tumakuru-Kunigal Rd, Saraswathipuram, Tumakuru",Tumakuru,IE,52817,0,0,54470,113239,65026,50948,0,0,44771,0,0,38876,0,60198,36695,45463,45780,74804,0,97604,112890,0,161011,70306,52817,52817,54470,113239,50948,50948,44771,44771,38876,60198,36695,45780,74804,97604,112890,161011
402,E062,Bapuji Institute of Engineering and Technology  Davangere,Bapuji Institute of Engineering and Technology  Davangere [E062],Computer Science Engineering-Data Sciences,Computer Science Engineering-Data Sciences [DS],"BIET, Davanagere",Davanagere,DS,58346,120280,0,44812,0,61576,38486,0,0,50585,0,0,40286,0,0,37344,0,48525,86444,0,185038,74519,0,0,70520,58346,120280,44812,61576,38486,38486,50585,50585,40286,40286,37344,48525,86444,185038,74519,74519
130,E014,S J C Institute of Technology  Chickballapur,S J C Institute of Technology  Chickballapur [E014],"Computer Science Engineering-AI, Machine Learning","Computer Science Engineering-AI, Machine Learning [CA]","BB Rd, Chikkaballapur",Chikkaballapur,CA,52060,0,0,68580,0,68906,47205,128768,0,48071,0,0,44874,0,0,44510,0,56345,85330,0,131999,0,0,0,70604,52060,52060,68580,68906,47205,128768,48071,48071,44874,44874,44510,56345,85330,131999,0,0
667,E108,Sapthagiri College of Engineering  Bangalore,Sapthagiri College of Engineering  Bangalore [E108],Electronics and Communication Engineering,Electronics and Communication Engineering [EC],"Hesarghatta Main Rd, Bengaluru",Bengaluru,EC,43640,0,0,53393,0,60033,75316,0,0,45648,0,0,45899,0,0,43524,46784,46787,125653,0,0,190879,0,0,70686,43640,43640,53393,60033,75316,75316,45648,45648,45899,45899,43524,46787,125653,125653,190879,190879
1320,E240,"Dayananda Sagar University  Hosur Road, Bangalore","Dayananda Sagar University  Hosur Road, Bangalore [E240]",B Tech in ROBOTICS AND ARTIFICIAL INTELLIGENCE,B Tech in ROBOTICS AND ARTIFICIAL INTELLIGENCE [DH],"Hosur,Bengaluru",Bengaluru,DH,0,0,0,49275,0,0,50026,0,0,48615,0,0,0,0,0,43227,87038,51804,150401,0,0,85742,0,0,70766,0,0,49275,49275,50026,50026,48615,48615,0,0,43227,87038,150401,150401,85742,85742
533,E091,K S Institute of Technology  Bangalore,K S Institute of Technology  Bangalore [E091],Computer Science and Design,Computer Science and Design [CD],"Raghuvanahalli, Bengaluru",Bengaluru,CD,73228,0,0,58093,0,83725,64714,0,0,46898,0,0,42878,0,0,42637,0,73221,152000,0,0,0,0,0,70821,73228,73228,58093,83725,64714,64714,46898,46898,42878,42878,42637,73221,152000,152000,0,0
1312,E240,"Dayananda Sagar University  Hosur Road, Bangalore","Dayananda Sagar University  Hosur Road, Bangalore [E240]",B TECH IN COMP SCI & ENGG (AI & ML),B TECH IN COMP SCI & ENGG (AI & ML) [AM],"Hosur,Bengaluru",Bengaluru,AM,29814,0,0,38927,78438,53780,45539,0,0,31102,0,39613,32476,0,40560,30832,56421,38796,103389,163620,128905,109683,0,184907,70988,29814,29814,38927,78438,45539,45539,31102,39613,32476,40560,30832,56421,103389,163620,109683,184907
704,E114,G M Institute of Technology  Davanagere,G M Institute of Technology  Davanagere [E114],Electronics and Communication Engineering,Electronics and Communication Engineering [EC],Davanagere,Davanagere,EC,50451,0,0,61747,0,62194,55417,0,0,45745,0,0,44998,0,59829,44860,65235,58504,128623,0,0,107021,0,139262,71068,50451,50451,61747,62194,55417,55417,45745,45745,44998,59829,44860,65235,128623,128623,107021,139262
103,E011,M V J College of Engineering  Bangalore,M V J College of Engineering  Bangalore [E011],Electronics and Communication Engineering,Electronics and Communication Engineering [EC],"Kadugodi, Bengaluru",Bengaluru,EC,45816,0,0,47912,52444,49747,56157,0,0,41497,0,0,42511,0,49821,39137,41789,47192,96972,180959,136718,141383,0,0,71337,45816,45816,47912,52444,56157,56157,41497,41497,42511,49821,39137,47192,96972,180959,141383,141383
679,E111,"Sri Venkateshwara College of Engineering  Bettahalsur(P), Bangalore","Sri Venkateshwara College of Engineering  Bettahalsur(P), Bangalore [E111]",Computers Science And Engineering,Computers Science And Engineering [CS],"Bettahalsur(P), Bengaluru",Bengaluru,CS,42059,0,0,53390,0,63136,62006,0,73147,42268,0,0,47786,0,57690,40655,63074,47562,96185,122954,128428,87602,0,114526,71404,42059,42059,53390,63136,62006,73147,42268,42268,47786,57690,40655,63074,96185,128428,87602,114526
1421,E286,"BGS College of Engineering and Technology  Mahalakshmipuram,Bangalore","BGS College of Engineering and Technology  Mahalakshmipuram,Bangalore [E286]",Information Science and Engineering,Information Science and Engineering [IE],Bengaluru,Bengaluru,IE,64519,0,0,41028,0,115112,42241,0,0,30768,0,0,36868,0,0,28880,49583,43147,137165,0,0,200370,0,0,71789,64519,64519,41028,115112,42241,42241,30768,30768,36868,36868,28880,49583,137165,137165,200370,200370
453,E076,"Proudadevaraya Institute of Technology  Indiranagar Hospet, Ballari DT","Proudadevaraya Institute of Technology  Indiranagar Hospet, Ballari DT [E076]",Civil Engineering,Civil Engineering [CE],"Hosapete, Bellary",Bellary,CE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71893,0,0,0,0,0,0,0,0,71893,0,0,0,0,0,0,0,0,0,0,71893,71893,0,0,0,0
1281,E237,"Presidency University  Yelahanka, Bangalore","Presidency University  Yelahanka, Bangalore [E237]",B TECH IN COMP SCI & ENGG (AI & ML),B TECH IN COMP SCI & ENGG (AI & ML) [AM],"Yelahanka,Bengaluru",Bengaluru,AM,43451,0,0,57510,107244,79599,42597,0,0,42946,0,0,41940,0,60979,37584,0,47575,104110,0,0,135764,136379,0,72129,43451,43451,57510,107244,42597,42597,42946,42946,41940,60979,37584,47575,104110,104110,135764,136379
927,E155,Government Engineering College  Hassan,Government Engineering College  Hassan [E155],Electronics and Communication Engineering,Electronics and Communication Engineering [EC],Hassan,Hassan,EC,60294,0,113456,65902,0,77187,59835,0,0,45154,0,0,48000,83238,0,44873,48242,54772,84258,0,113206,113166,0,0,72255,60294,113456,65902,77187,59835,59835,45154,45154,48000,83238,44873,54772,84258,113206,113166,113166
991,E167,"K L E Ss K L E College of Engineering and Technology  Chikkodi, Belgaum Dist.","K L E Ss K L E College of Engineering and Technology  Chikkodi, Belgaum Dist. [E167]",Computers Science And Engineering,Computers Science And Engineering [CS],"Chikkodi, Belgaum",Belgaum,CS,51160,0,0,50518,0,50789,43755,0,0,50954,0,0,0,0,51375,42993,0,48794,99396,0,144918,92304,0,142649,72467,51160,51160,50518,50789,43755,43755,50954,50954,51375,51375,42993,48794,99396,144918,92304,142649
462,E077,Vidya Vikas Institute of Engineering and Technology  Mysuru,Vidya Vikas Institute of Engineering and Technology  Mysuru [E077],Information Science and Engineering,Information Science and Engineering [IE],"Alanahally, Mysore",Mysore,IE,65382,0,66277,60744,0,0,51954,0,0,43254,0,0,43623,0,0,42428,48561,56539,91275,0,0,124326,177067,0,72619,65382,66277,60744,60744,51954,51954,43254,43254,43623,43623,42428,56539,91275,91275,124326,177067
1280,E235,M.S. Ramaiah University of Applied Sciences  Bangalore,M.S. Ramaiah University of Applied Sciences  Bangalore [E235],B TECH IN ROBOTICS,B TECH IN ROBOTICS [DJ],"New BEL Rd, MSR Nagar, Bengaluru",Bengaluru,DJ,80528,0,0,62935,0,0,0,0,0,0,0,0,0,0,0,46139,0,66253,107534,0,0,0,0,0,72677,80528,80528,62935,62935,0,0,0,0,0,0,46139,66253,107534,107534,0,0
729,E118,RNS Institute of Technology  Bangalore,RNS Institute of Technology  Bangalore [E118],Electrical And Electronics Engineering,Electrical And Electronics Engineering [EE],"RR Nagar, Bengaluru",Bengaluru,EE,0,0,0,53436,0,58460,98307,0,0,48344,0,0,49963,0,0,45620,0,58082,129759,0,0,112745,0,0,72746,0,0,53436,58460,98307,98307,48344,48344,49963,49963,45620,58082,129759,129759,112745,112745
887,E150,P E S Institute of Technology and Management  Shivamogga,P E S Institute of Technology and Management  Shivamogga [E150],Artificial Intelligence and Machine Learning,Artificial Intelligence and Machine Learning [AI],Shivamogga,Shivamogga,AI,77101,0,0,73179,0,0,62754,0,0,0,0,87452,52021,0,0,50567,66819,62712,109094,0,0,85861,0,0,72756,77101,77101,73179,73179,62754,62754,87452,87452,52021,52021,50567,66819,109094,109094,85861,85861
840,E142,"Adichunchanagiri University(Formerly BGSIT)  Nagamangala Taluk,Mandya Dist.","Adichunchanagiri University(Formerly BGSIT)  Nagamangala Taluk,Mandya Dist. [E142]",Computers Science And Engineering,Computers Science And Engineering [CS],"Nagamangala ,Mandya",Mandya,CS,51278,0,0,57131,80832,82822,39931,0,0,38045,0,0,43344,0,45831,35859,45847,45692,92253,123269,96102,134841,0,154242,72957,51278,51278,57131,82822,39931,39931,38045,38045,43344,45831,35859,45847,92253,123269,134841,154242
260,E038,B L D E As V.P. Dr. P. G. Hallakatti College of Engg. and Tech.  vijayapur,B L D E As V.P. Dr. P. G. Hallakatti College of Engg. and Tech.  vijayapur [E038],Electronics and Communication Engineering,Electronics and Communication Engineering [EC],"Adarsh Nagar, Bijapur",Bijapur,EC,50410,0,0,56160,58135,68350,53957,0,0,0,0,0,45503,0,62120,45145,46113,50815,98846,0,145757,169474,0,0,73137,50410,50410,56160,68350,53957,53957,0,0,45503,62120,45145,50815,98846,145757,169474,169474
538,E092,Vemana Institute of Technology  Bangalore,Vemana Institute of Technology  Bangalore [E092],Artificial Intelligence and Machine Learning,Artificial Intelligence and Machine Learning [AI],"Koramangala, Bengaluru",Bengaluru,AI,55082,0,78910,60971,0,0,58901,0,0,56494,0,0,56666,0,0,55065,56721,67694,122105,0,0,136027,0,0,73148,55082,78910,60971,60971,58901,58901,56494,56494,56666,56666,55065,67694,122105,122105,136027,136027
55,E006,M S Ramaiah Institute of Technology  Bangalore,M S Ramaiah Institute of Technology  Bangalore [E006],Mechanical Engineering,Mechanical Engineering [ME],"MSRIT Post,Bengaluru",Bengaluru,ME,37647,0,0,51094,0,93829,0,0,0,45048,0,0,43793,0,80392,37472,65834,68283,105590,0,120805,128516,0,0,73191,37647,37647,51094,93829,0,0,45048,45048,43793,80392,37472,68283,105590,120805,128516,128516
752,E123,Canara Engineering College Bantwal  DK DIST,Canara Engineering College Bantwal  DK DIST [E123],Information Science and Engineering,Information Science and Engineering [IE],"Bantwal,Dakshina Kannada",Dakshina Kannada,IE,57778,0,0,60421,0,63453,56020,0,0,56530,0,0,64713,0,84414,49880,58936,54645,198804,0,0,0,0,0,73235,57778,57778,60421,63453,56020,56020,56530,56530,64713,84414,49880,58936,198804,198804,0,0
