,InstituteId,InstituteName,Institution,CourseName,Course,Location,City,BranchCode,1G,1K,1R,2AG,2AK,2AR,2BG,2BK,2BR,3AG,3AK,3AR,3BG,3BK,3BR,GM,GMK,GMR,SCG,SCK,SCR,STG,STK,STR,AvgCutoffRank
156,E016,Siddaganga Institute of Technology  Tumkur,Siddaganga Institute of Technology  Tumkur [E016],Information Science and Engineering,Information Science and Engineering [IE],"Bangalore - Honnavar Rd,Tumakuru",Tumakuru,IE,13737,0,0,10977,0,11913,15324,0,0,9295,0,0,9149,0,11464,8952,10632,10666,32798,0,40399,36457,0,45470,19088
66,E007,Dayananda Sagar College of Engineering  Bangalore,Dayananda Sagar College of Engineering  Bangalore [E007],Computer Science Engineering-Data Sciences,Computer Science Engineering-Data Sciences [DS],"Kumaraswamy Layout, Bengaluru",Bengaluru,DS,8935,0,0,10975,0,13781,10709,0,0,7486,0,0,9582,0,0,7360,12872,11414,39173,0,58851,38403,0,0,19128
323,E048,"B M S College of Engineering  Basavanagudi,Bangalore","B M S College of Engineering  Basavanagudi,Bangalore [E048]",Computer Science Engineering-Data Sciences,Computer Science Engineering-Data Sciences [DS],"Basavanagudi,Bengaluru",Bengaluru,DS,0,0,0,4416,0,0,5602,0,23178,2538,0,0,3433,0,0,2153,0,2571,28717,75390,0,25839,0,44413,19840
148,E016,Siddaganga Institute of Technology  Tumkur,Siddaganga Institute of Technology  Tumkur [E016],"Computer Science Engineering-AI, Machine Learning","Computer Science Engineering-AI, Machine Learning [CA]","Bangalore - Honnavar Rd,Tumakuru",Tumakuru,CA,16482,0,18705,11402,0,0,25555,0,33168,11990,0,0,10829,0,0,10658,0,12877,30445,0,0,38933,0,0,20094
324,E048,"B M S College of Engineering  Basavanagudi,Bangalore","B M S College of Engineering  Basavanagudi,Bangalore [E048]",Electronics and Communication Engineering,Electronics and Communication Engineering [EC],"Basavanagudi,Bengaluru",Bengaluru,EC,6743,0,0,9154,18553,11817,15525,0,0,5406,0,8568,7943,0,10661,5257,13689,8303,34132,51015,53359,37797,0,46180,20241
642,E105,Nitte Meenakshi Institutute of Technology  Bangalore,Nitte Meenakshi Institutute of Technology  Bangalore [E105],Computers Science And Engineering,Computers Science And Engineering [CS],"Yelahanka, Bengaluru",Bengaluru,CS,11617,0,16240,11798,14383,12277,15315,0,16375,9540,0,0,9109,0,0,8854,11036,9896,29566,42734,33834,31919,38598,42923,20334
351,E056,The National Institute of Engineering(SOUTH CAMPUS)  Mysore,The National Institute of Engineering(SOUTH CAMPUS)  Mysore [E056],Electronics and Communication Engineering,Electronics and Communication Engineering [EC],"Manandavadi Road, Mysore",Mysore,EC,23151,0,23998,15629,0,0,17745,0,0,10865,0,0,11849,0,0,10764,13111,13817,47064,0,0,42117,0,0,20919
89,E009,P E S University (Ring Road Campus)  Bangalore,P E S University (Ring Road Campus)  Bangalore [E009],B TECH IN COMP SCI & ENGG (AI & ML),B TECH IN COMP SCI & ENGG (AI & ML) [AM],"Banashankari, Bengaluru",Bengaluru,AM,4951,0,0,5726,24225,7969,6962,67515,19717,3334,0,7222,4061,0,7080,2733,12214,5792,33639,40588,49932,43763,0,60671,21478
186,E022,The National Institute of Engineering(SOUTH CAMPUS)  Mysore,The National Institute of Engineering(SOUTH CAMPUS)  Mysore [E022],Electronics and Communication Engineering,Electronics and Communication Engineering [EC],"Mananthavadi Rd,Mysore",Mysore,EC,18620,0,0,13134,18091,13818,16244,0,0,10716,0,0,10179,0,17274,9732,16557,13512,36525,0,45242,25598,0,57649,21526
319,E048,"B M S College of Engineering  Basavanagudi,Bangalore","B M S College of Engineering  Basavanagudi,Bangalore [E048]",Computer Science and Business Systems,Computer Science and Business Systems [CB],"Basavanagudi,Bengaluru",Bengaluru,CB,7869,0,0,6943,0,15454,0,67780,0,8980,0,0,7697,0,0,4539,0,9115,40638,0,0,46824,0,0,21583
76,E008,Bangalore Institute of Technology  Bangalore,Bangalore Institute of Technology  Bangalore [E008],Artificial Intelligence and Machine Learning,Artificial Intelligence and Machine Learning [AI],"Basavanagudi, Bengaluru",Bengaluru,AI,0,0,0,9468,0,14356,0,0,0,9959,23188,0,9117,0,0,8627,0,11392,38381,0,50262,43873,0,0,21862
33,E005,R. V. College of Engineering  Bangalore,R. V. College of Engineering  Bangalore [E005],Electrical And Electronics Engineering,Electrical And Electronics Engineering [EE],"Mysuru Rd,Bengaluru",Bengaluru,EE,0,0,24901,7726,0,0,19769,0,34415,0,0,0,6093,0,0,6013,14314,7131,15930,80801,0,25162,0,0,22023
355,E057,JSS Science and Technology University(Formerly SJCE)  Mysore,JSS Science and Technology University(Formerly SJCE)  Mysore [E057],Computer Science and Business Systems,Computer Science and Business Systems [CB],"University Of Mysore Campus, Mysore",Mysore,CB,0,0,25742,14324,0,0,20154,0,0,6607,0,0,11670,0,0,6012,17390,9853,41597,0,75442,16966,0,0,22341
725,E118,RNS Institute of Technology  Bangalore,RNS Institute of Technology  Bangalore [E118],Computers Science And Engineering,Computers Science And Engineering [CS],"RR Nagar, Bengaluru",Bengaluru,CS,12527,0,14655,11783,13969,14256,18460,0,0,10594,0,12889,10516,0,12825,9112,12454,11987,37140,43442,45664,38911,47829,47025,22423
3,E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ) [E001],Electronics and Communication Engineering,Electronics and Communication Engineering [EC],"KR Circle, Bengaluru",Bengaluru,EC,15177,0,18548,14878,15407,16522,21600,0,0,10997,0,12440,10574,0,14664,9878,14864,11936,33658,46591,47113,37482,0,52570,22494
146,E016,Siddaganga Institute of Technology  Tumkur,Siddaganga Institute of Technology  Tumkur [E016],Artificial Intelligence And Data Science,Artificial Intelligence And Data Science [AD],"Bangalore - Honnavar Rd,Tumakuru",Tumakuru,AD,22999,0,0,12672,0,17133,15231,0,0,13425,0,0,11606,0,0,11265,19100,11949,32495,0,79620,0,0,0,22499
251,E037,K.L.S. Gogte Institute of Technology  Belgaum,K.L.S. Gogte Institute of Technology  Belgaum [E037],Computers Science And Engineering,Computers Science And Engineering [CS],"Udyambag, Belgaum",Belgaum,CS,16170,0,0,12919,13643,13982,20323,0,0,13528,0,0,11186,0,14306,10633,12667,13314,37794,39755,50139,31101,0,59394,23178
835,E141,P E S University (Electronic City Campus)  Bangalore,P E S University (Electronic City Campus)  Bangalore [E141],B TECH IN COMP SCI & ENGG (AI & ML),B TECH IN COMP SCI & ENGG (AI & ML) [AM],"Electronic city,Bengaluru",Bengaluru,AM,0,0,0,10404,0,17519,14541,0,36558,7386,0,12764,9345,0,0,6707,15568,12345,40772,0,62625,58645,0,0,23475
113,E012,"Sir M.Visveswaraya Institute of Technology  Hunasemaranahalli,Bangalore,","Sir M.Visveswaraya Institute of Technology  Hunasemaranahalli,Bangalore, [E012]",Computers Science And Engineering,Computers Science And Engineering [CS],"Hunasemaranahalli,Bengaluru",Bengaluru,CS,14995,0,0,14832,19262,16872,17299,0,0,14017,0,0,15065,0,16126,13629,14669,15839,37542,49525,49893,35529,0,39361,24028
385,E060,"Dr. Ambedkar Institute Of Technology  Jnanabharathi Campus,Bangalore","Dr. Ambedkar Institute Of Technology  Jnanabharathi Campus,Bangalore [E060]",Computers Science And Engineering,Computers Science And Engineering [CS],"Jnanabharathi Campus, Bengaluru",Bengaluru,CS,15533,0,0,18720,0,20307,26444,0,0,14926,0,0,15416,0,0,14803,19847,16030,35430,0,46135,33953,0,39250,24368
110,E012,"Sir M.Visveswaraya Institute of Technology  Hunasemaranahalli,Bangalore,","Sir M.Visveswaraya Institute of Technology  Hunasemaranahalli,Bangalore, [E012]",Artificial Intelligence and Machine Learning,Artificial Intelligence and Machine Learning [AI],"Hunasemaranahalli,Bengaluru",Bengaluru,AI,21699,0,0,22896,26111,0,28584,0,0,16996,0,21508,20071,0,0,16922,20276,19430,45684,0,0,37779,0,0,24829
639,E105,Nitte Meenakshi Institutute of Technology  Bangalore,Nitte Meenakshi Institutute of Technology  Bangalore [E105],Artificial Intelligence and Machine Learning,Artificial Intelligence and Machine Learning [AI],"Yelahanka, Bengaluru",Bengaluru,AI,15829,0,0,15637,0,25841,15358,0,0,12540,0,0,13208,0,0,11384,12645,16667,38837,0,85263,35909,0,0,24926
39,E005,R. V. College of Engineering  Bangalore,R. V. College of Engineering  Bangalore [E005],Aero Space Engineering,Aero Space Engineering [SE],"Mysuru Rd,Bengaluru",Bengaluru,SE,6874,84957,0,11791,0,13993,15163,0,0,5745,0,0,5913,0,0,4868,0,13570,24839,0,78663,36229,0,0,25217
71,E007,Dayananda Sagar College of Engineering  Bangalore,Dayananda Sagar College of Engineering  Bangalore [E007],"CS-Internet of things,Cyber Security(Block Chain)","CS-Internet of things,Cyber Security(Block Chain) [IC]","Kumaraswamy Layout, Bengaluru",Bengaluru,IC,13387,0,0,13363,0,16370,12789,0,0,12020,0,0,10689,36677,0,10560,0,14165,45334,0,74186,44487,0,0,25335
86,E008,Bangalore Institute of Technology  Bangalore,Bangalore Institute of Technology  Bangalore [E008],Information Science and Engineering,Information Science and Engineering [IE],"Basavanagudi, Bengaluru",Bengaluru,IE,9404,0,0,12535,15948,12940,9976,0,0,9309,0,0,9386,0,11800,9132,0,11664,44407,57533,56120,40080,0,70681,25394
637,E105,Nitte Meenakshi Institutute of Technology  Bangalore,Nitte Meenakshi Institutute of Technology  Bangalore [E105],Artificial Intelligence And Data Science,Artificial Intelligence And Data Science [AD],"Yelahanka, Bengaluru",Bengaluru,AD,16180,0,0,15288,0,20607,18576,0,0,14136,23864,0,0,0,0,13937,0,17734,44093,0,69831,0,0,0,25424
226,E034,Sri Dharmasthala Manjunatheswara College of Engineering  Dharwad,Sri Dharmasthala Manjunatheswara College of Engineering  Dharwad [E034],Artificial Intelligence and Machine Learning,Artificial Intelligence and Machine Learning [AI],"Dhavalagiri, Dharwad",Dharwad,AI,24319,0,37061,16107,0,0,17134,0,0,20686,0,25732,15671,0,0,15056,18780,15577,50697,0,0,50202,0,0,25585
593,E099,New Horizon College of Engineering  Bangalore,New Horizon College of Engineering  Bangalore [E099],Computers Science And Engineering,Computers Science And Engineering [CS],"Kadabeesanahalli, Bengaluru",Bengaluru,CS,15067,0,18551,13035,21006,15684,19332,0,24155,10607,0,0,11085,0,14299,9034,16885,13797,39418,52441,47932,37232,60105,46949,25611
229,E034,Sri Dharmasthala Manjunatheswara College of Engineering  Dharwad,Sri Dharmasthala Manjunatheswara College of Engineering  Dharwad [E034],Computers Science And Engineering,Computers Science And Engineering [CS],"Dhavalagiri, Dharwad",Dharwad,CS,13322,0,0,14166,0,15701,0,0,0,13294,0,0,13568,0,0,12241,16913,14379,37632,42724,45185,29011,0,67369,25808
60,E007,Dayananda Sagar College of Engineering  Bangalore,Dayananda Sagar College of Engineering  Bangalore [E007],Computer Science and Business Systems,Computer Science and Business Systems [CB],"Kumaraswamy Layout, Bengaluru",Bengaluru,CB,10862,0,0,13860,0,28801,17779,0,0,10659,71540,0,11620,0,23835,9901,0,20499,44468,0,0,50544,0,0,26197
659,E107,B N M Institute of Technology  Bangalore,B N M Institute of Technology  Bangalore [E107],Computers Science And Engineering,Computers Science And Engineering [CS],"Banashankari, Bengaluru",Bengaluru,CS,14438,0,0,15225,18219,18362,13451,0,0,12210,0,0,13463,0,15867,12005,14911,15634,48891,62833,51731,43761,0,50027,26314
67,E007,Dayananda Sagar College of Engineering  Bangalore,Dayananda Sagar College of Engineering  Bangalore [E007],Electronics and Communication Engineering,Electronics and Communication Engineering [EC],"Kumaraswamy Layout, Bengaluru",Bengaluru,EC,20194,0,0,15524,18899,16983,21780,0,0,11946,0,16636,12079,0,18241,11067,18836,14255,49355,0,65011,51477,0,59056,26333
